english	sign
he learned a lot of music poetry and literature	he study more music poem literature
there are 219 people walking on the road	2 1 9 people walk there
sunday	sunday
you will live here till when	how time future you stay here
she is digging her own grave	she dig own grave
it was a labour camp 	camp
i cannot see her	me no look her
she likes shopping	she like shopping
she was born in january	she born j eid
a wonderful meal she cooked us	she cook me good meal
there are 937 men walking in the street	9 3 7 woman walk there
he read this book yesterday	he read this book past
jews were killed in the war	war kill jewish
i am advising her to stop smoking	me her close smoking
he should not worry	worry no
friday they will have duty	they future duty this friday
72 people are walking	7 2 people walk
will you please wait for sometime	you please time some wait will
his mother passed away in 1976	his mother died 1 9 7 6
i take bath every other day	me bath every_other_day
you should not book tickets	you ticket bookv no
easily done for him	that he easy work
her elder sister was in school	sister school
she was caught in traffic	she catch traffic
he visited a church and fell in love with it	me visited church and like
she went in my place	she me change there go
he was born in may	he born m a y
this was done correctly at the hospitals where he worked	he work local nurse where work good
shall we go tomorrow together	tomorrow we accompany go
66	6 6
i feel anxious because of your safety	me you keep anxious
bring your dad next time	you father second accompany come 
goods of leather were carried by the shop	shop leather goods
229	2 2 9
they have fair hair and blue eyes	they good hair blue eyes
2 people are there in my family	me family 2 people
cold country	cold country
he was born in january	he born j eid
can i have the key now	me now keys take
no smoking please	please smoking no
we laughed because of his joke	we laugh his joke
he set his own house on fire	he lit own house
the story is important	story important
i have written to her a couple times and asked her to stop sending me used clothes	me write letter again 1 2 3 4 write say close send smell shirt
you will have to mend your ways	you ways mend
you were born on 29 november 1933	you born 2 9 n cracker 1 9 3 3
they had to give up on food	food compromize
school last year she change	she change school past year
october january and june	october j eid and j rain
i was attacked	me attack
don't bend stand upright	upright stand bend no
55 people are walking	5 5 people walk
may november or october	m a y n cracker or october
he learned a lot of music poetry and literature	he study more music poem literature
ulka passed away in 1996	u l k a died 1 9 9 6
half of the apples are spoilt	half apple worm rotten
philip just came home	p h i l i p must come home
you were born in ooty	you born place o o t y
my brother died in 1984	me brother died 1 9 8 4
she suddenly shut the door	she close door shock
i did not see him since then	me no look her time then
do she like flowers	she like flower
you watch tv	you tv watch
he worry result	he correct anxious
a large folder i will give you	me you take large folder
they had to live in the dark to not get caught	light no stay catch no
when are you busy	you when busy
blue	blue
they come tomorrow to see you	they come you look tomorrow
a fire broke out near his home	his house near fire
he was born in chandrapur	he born place c h a n d r a p u r
he made many costly purchases	he big money purchase
today they are behaving weird	they behaviour work odd today
to decay the apple has begun	apple rot
the students admire her	student look her
accept	take
they could not breathe deep easily	they no deep_breath
i will be pleased to help her	me her help happy
63	6 3
he was born in faridabad	he born place f a r i d a b a d
this poem how she understand	she how interpret this poem
1	1
i went with him on a trip	me accompany roam
don't spend more than what you earn	money receive big spend no
a day is made of 24 hours	day two four hours
did he do his assignment	he homework finish did
food had to be sacrificed	food compromize
the store is not open today	store no open today
his brother passed away in 1977	his brother died 1 9 7 7
angry	angry
all felt sorry for danta	people know sorry d a n t a
he was not allowed to meet anyone	he allow meet no
81	8 1
keep smiling	keep smiling
excuse me can i sit here	sorry me this sit can
i'm sorry	me sorry
there are 155 people walking on the road	1 5 5 people walk there
leave	go
89 people are walking	8 9 people walk
his own grave he dug	he dig own grave
47 people are walking	4 7 people walk
i'm not fine	me fine no
doctor they shall be in future	they wish doctor
how many years he live abroad	he how time aeroplane stay
don't throw garbage use the trash	garbage no use dustbin
a musician i am not being	me no be musician
from august till october	a tiewrist october between
he view it as undesirable but a necessary	he view necessary undesirable
sorry my father is not here	me sorry me father out
school last year she change	she change school past year
there are 421 people walking in the street	4 2 1 people walk there
the king governed the country	king govern country
did you book ticket	you ticket bookv did
i was born in may	me born m a y
not dried yet is the paint	paint no dry yet
motor cycle	motor cycle
they were laughed at by everyone	everyone they laugh
speak little 	talk little
she was born on 12 june 1929	she born 1 2 j rain 1 9 2 9
he will change his school next year	he change school develop year
college	college
do you want coffee or tea	you want tea or coffee
badminton is my favorite game	b a d m i n t o n me like game
ammar passed away in 2014	a m m a r died 2 0 1 4
they purchased many costly things	they big money purchase
she went outside for business	she town out work
fail	fail
after	after
medicine	medicine
he was born in january	he born j eid
where do i call you	you mobile_number what  
what is the problem	what problem
good question	good question
he was born in jabalpur	he born place j a b a l p u r
everyone felt sorry for govardhan	people know sorry g o v a r d h a n
i was born in april	me born a blank a
i love pool	me like p o o l
such a kind woman i've never met	me no meet kind women
i was born in gonda in 1905	me born place g o n d a 1 9 0 5
he wants to become doctor	he wish doctor
the matters settle somehow	somehow settle matter
she drink our tea with sugar	she drink tea accompany sugar
when she was 50 years old she died	she 5 0 died
clean the room	room clean
they were threatened by the soldiers	soldiers threaten
they had to compromise food	food compromize
at 3 the plane will arrive	plane come at 3
she went to the theater	she go theater
tomorrow we will meet	we tomorrow meet can
she was born on 24 october 2001	she born 2 4 october 2 0 0 1
my sister died in 2013	me sister died 2 0 1 3
he's fine	he fine
don't throw garbage use the dustbin 	garbage no use dustbin
he was attacked	he attack
i will be the home of seagull	me be home seagull
he was born in bellary	he born place b e l l a r y
to work harder they resolved	they resolve work difficult
use the trash don't throw garbage please	please garbage no use dustbin
he is used to working hard	he difficult work
sridhar died in 2013	s r i d h a r died 2 0 1 3
she got sick suffered and died	she sick suffered died
busy you are	you busy
i will be happy to help you	me you help happy
she studied a lot of music poetry and literature	she study more music poem literature
south america has some indians staying there	indians stay s o u t h blank a m e r i c a
he was born in moradabad in 1938	he born place m o r a d a b a d 1 9 3 8
what can't be undone is done	complete no undone
